"Nome comercial","Nome da oportunidade","Telefone principal","Instagram","Segmento","Fonte","Tags","Dor provavel","Gancho - Abordagem","Observacoes"
"Chiquinho Auto Peças","NUC x Chiquinho Auto Peças","+55 24 99988-2344","https://www.google.com/search?q=Chiquinho+Auto+Pe%C3%A7as+Porto+Real+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Porto Real","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Pesquisando auto pecas em Porto Real, a Chiquinho Auto Peças se destacou. O consumidor de hoje pesquisa no Google antes de comprar peca - quem aparece primeiro vende mais. Quero mostrar como colocar voces nessa posicao.","Empresa: Chiquinho Auto Peças | Cidade: Porto Real | Tipo: Auto Pecas | Nota Google: 4.8 (20 avaliacoes) | Categorias: Loja de autopeças | Endereco: Jardim das Acacias, Porto Real - RJ, 27570-000, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Af Auto Peças e Baterias Automotivas","NUC x Af Auto Peças e Baterias Automotivas","+55 24 99911-3485","https://www.google.com/search?q=Af+Auto+Pe%C3%A7as+e+Baterias+Automotivas+Porto+Real+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Porto Real","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Pesquisando auto pecas em Porto Real, a Af Auto Peças e Baterias Automotivas se destacou. O consumidor de hoje pesquisa no Google antes de comprar peca - quem aparece primeiro vende mais. Quero mostrar como colocar voces nessa posicao.","Empresa: Af Auto Peças e Baterias Automotivas | Cidade: Porto Real | Tipo: Auto Pecas | Nota Google: 5.0 (11 avaliacoes) | Categorias: Loja de autopeças | Endereco: Av. B, 1331 - Freitas Soares, Porto Real - RJ, 27570-000, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Vallourec do Brasil Auto Peças","NUC x Vallourec do Brasil Auto Peças","+55 24 3358-8200","https://www.google.com/search?q=Vallourec+do+Brasil+Auto+Pe%C3%A7as+Porto+Real+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Porto Real","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Vallourec do Brasil Auto Peças e referencia em auto pecas em Porto Real com 4 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Vallourec do Brasil Auto Peças | Cidade: Porto Real | Tipo: Auto Pecas | Nota Google: 4.0 (4 avaliacoes) | Categorias: Mecânica para carros | Endereco: Av. Renato Monteiro, 6200 - Porto Real, RJ, 27570-000, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Center Real | Convertedora GNV","NUC x Auto Center Real | Convertedora GNV","Sem telefone cadastrado","https://www.google.com/search?q=Auto+Center+Real+%7C+Convertedora+GNV+Porto+Real+instagram","Automotivo - Auto Center","Prospeccao Ativa","Porto Real","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","Vi que a Auto Center Real | Convertedora GNV tem nota 0.0 em Porto Real. Auto centers com boa reputacao online multiplicam o fluxo quando investem em posicionamento digital - clientes buscam no Google antes de levar o carro. Quero mostrar como.","Empresa: Auto Center Real | Convertedora GNV | Cidade: Porto Real | Tipo: Auto Center | Categorias: Oficina mecânica | Endereco: Av. Pedro Segundo, 61 - Centro, Porto Real - RJ, 27570-000, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Center QuatisCar","NUC x Auto Center QuatisCar","+55 24 99817-8478","https://www.google.com/search?q=Auto+Center+QuatisCar+Quatis+instagram","Automotivo - Auto Center","Prospeccao Ativa","Quatis","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Auto Center QuatisCar ja e referencia em Quatis com 88 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Auto Center QuatisCar | Cidade: Quatis | Tipo: Auto Center | Nota Google: 4.8 (88 avaliacoes) | Categorias: Oficina mecânica, Mecânica para carros | Endereco: Av. Roberto Silveira, n° 211 - Barrinha, Quatis - RJ, 27410-260, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Center 4 Rodas","NUC x Auto Center 4 Rodas","+55 24 3353-5383","https://www.google.com/search?q=Auto+Center+4+Rodas+Quatis+instagram","Automotivo - Auto Center","Prospeccao Ativa","Quatis","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Auto Center 4 Rodas ja e referencia em Quatis com 51 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Auto Center 4 Rodas | Cidade: Quatis | Tipo: Auto Center | Nota Google: 4.6 (51 avaliacoes) | Categorias: Oficina mecânica | Endereco: Zap ( 28 - 99964.4465 - Jardim Polastri, Quatis - RJ, 27420-080, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"RUSSO'S AUTO PEÇAS","NUC x RUSSO'S AUTO PEÇAS","+55 24 99841-8650","https://www.google.com/search?q=RUSSO%27S+AUTO+PE%C3%87AS+Quatis+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Quatis","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A RUSSO'S AUTO PEÇAS tem nota 5.0 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: RUSSO'S AUTO PEÇAS | Cidade: Quatis | Tipo: Auto Pecas | Nota Google: 5.0 (2 avaliacoes) | Categorias: Loja de autopeças | Endereco: Zap ( 28 - 99964.4465 - Centro, Quatis - RJ, 27410-130, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"AUTOPEÇAS G.A.","NUC x AUTOPEÇAS G.A.","+55 24 99330-8779","https://www.google.com/search?q=AUTOPE%C3%87AS+G.A.+Quatis+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Quatis","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a AUTOPEÇAS G.A. e referencia em auto pecas em Quatis com 0 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: AUTOPEÇAS G.A. | Cidade: Quatis | Tipo: Auto Pecas | Categorias: Loja de autopeças | Endereco: R. Alexandre Polastri, 200 - Jardim Polastri, Quatis - RJ, 27420-050, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Peças Azoberte","NUC x Auto Peças Azoberte","+55 24 3354-3906","https://www.google.com/search?q=Auto+Pe%C3%A7as+Azoberte+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Auto Peças Azoberte tem nota 4.5 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Auto Peças Azoberte | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.5 (2066 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Gulhot Rodrigues, 350 - Campos Elíseos, Resende - RJ, 27542-040, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Ciauto Peças","NUC x Ciauto Peças","+55 24 3354-7327","https://www.instagram.com/ciautopecas/","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Ciauto Peças tem nota 4.3 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Ciauto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.3 (608 avaliacoes) | Categorias: Loja de autopeças | Endereco: Av. Tenente-Coronel Adalberto Mendes, 622 - Manejo, Resende - RJ, 27521-131, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
